Fold	Label	Score_0	Score
0	0	0.331785761	0.668214239
0	0	0.717486968	0.282513032
0	0	0.992534694	0.007465306
0	0	0.993369431	0.006630569
0	0	0.610070595	0.389929405
0	0	0.968745777	0.031254223
0	0	0.983882759	0.016117241
0	0	0.571201192	0.428798808
0	0	0.077134453	0.922865547
0	0	0.998917683	0.001082317
0	0	0.382948121	0.617051879
0	0	0.998993151	0.001006849
0	0	0.7856473	0.2143527
0	0	0.022237362	0.977762638
0	0	0.991098332	0.008901668
0	0	0.998175684	0.001824316
0	0	0.999251934	0.000748066
0	0	0.955150175	0.044849825
0	0	0.995322178	0.004677822
0	0	0.957184138	0.042815862
0	0	0.556383231	0.443616769
0	0	0.353342631	0.646657369
0	0	0.115807451	0.884192549
0	0	0.948124121	0.051875879
0	0	0.989940776	0.010059224
0	0	0.99343002	0.00656998
0	0	0.995833005	0.004166995
0	0	0.012100684	0.987899316
0	0	0.980215655	0.019784345
0	0	0.068689608	0.931310392
0	0	0.990700899	0.009299101
0	0	0.807846803	0.192153197
0	0	0.379093821	0.620906179
0	0	0.874049889	0.125950111
0	0	0.552495687	0.447504313
0	0	0.31000602	0.68999398
0	0	0.591836448	0.408163552
0	0	0.950400501	0.049599499
0	0	0.302652329	0.697347671
0	0	0.994402904	0.005597096
0	0	0.988588141	0.011411859
0	0	0.951935979	0.048064021
0	0	0.097325336	0.902674664
1	0	0.993331971	0.006668029
1	0	0.956062705	0.043937295
1	0	0.737271911	0.262728089
1	0	0.653279174	0.346720826
1	0	0.873555404	0.126444596
1	0	0.990640197	0.009359803
1	0	0.987768951	0.012231049
1	0	0.999728233	0.000271767
1	0	0.150002684	0.849997316
1	0	0.950394484	0.049605516
1	0	0.953001257	0.046998743
1	0	0.998733089	0.001266911
1	0	0.997344285	0.002655715
1	0	0.985137724	0.014862276
1	0	0.955293776	0.044706224
1	0	0.483501912	0.516498088
1	0	0.996893108	0.003106892
1	0	0.980806473	0.019193527
1	0	0.93854128	0.06145872
1	0	0.903224333	0.096775667
1	0	0.931996231	0.068003769
1	0	0.989325783	0.010674217
1	0	0.032786792	0.967213208
1	0	0.006097721	0.993902279
1	0	0.789502544	0.210497456
1	0	0.988332226	0.011667774
1	0	0.900085879	0.099914121
1	0	0.674000871	0.325999129
1	0	0.097942316	0.902057684
1	0	0.842781847	0.157218153
1	0	0.973152725	0.026847275
1	0	0.993250119	0.006749881
1	0	0.970520792	0.029479208
1	0	0.983625166	0.016374834
1	0	0.992256242	0.007743758
1	0	0.96777328	0.03222672
1	0	0.645648949	0.354351051
1	0	0.992693979	0.007306021
1	0	0.967474687	0.032525313
1	0	0.998022347	0.001977653
1	0	0.9840088	0.0159912
1	0	0.963810654	0.036189346
1	0	0.997867833	0.002132167
2	0	0.631288325	0.368711675
2	0	0.869022814	0.130977186
2	0	0.953243225	0.046756775
2	0	0.967219259	0.032780741
2	0	0.878476971	0.121523029
2	0	0.534799274	0.465200726
2	0	0.820527451	0.179472549
2	0	0.997353793	0.002646207
2	0	0.998915014	0.001084986
2	0	0.625553631	0.374446369
2	0	0.990798998	0.009201002
2	0	0.93290955	0.06709045
2	0	0.84001118	0.15998882
2	0	0.936958135	0.063041865
2	0	0.845973698	0.154026302
2	0	0.946195421	0.053804579
2	0	0.001381256	0.998618744
2	0	0.996547634	0.003452366
2	0	0.997783652	0.002216348
2	0	0.999062251	0.000937749
2	0	0.937704866	0.062295134
2	0	0.981543522	0.018456478
2	0	0.934655412	0.065344588
2	0	0.902135556	0.097864444
2	0	0.996457729	0.003542271
2	0	0.990299899	0.009700101
2	0	0.961492577	0.038507423
2	0	0.998499632	0.001500368
2	0	0.92930565	0.07069435
2	0	0.698145087	0.301854913
2	0	0.190052284	0.809947716
2	0	0.966841353	0.033158647
2	0	0.988037794	0.011962206
2	0	0.031843832	0.968156168
2	0	0.984827241	0.015172759
2	0	0.993942056	0.006057944
2	0	0.826364027	0.173635973
2	0	0.992988396	0.007011604
2	0	0.164559915	0.835440085
2	0	0.381711231	0.618288769
2	0	0.983032726	0.016967274
2	0	0.611495493	0.388504507
2	0	0.630511946	0.369488054
3	0	0.996661357	0.003338643
3	0	0.899059148	0.100940852
3	0	0.013969916	0.986030084
3	0	0.999265733	0.000734267
3	0	0.995752518	0.004247482
3	0	0.961724112	0.038275888
3	0	0.970422448	0.029577552
3	0	0.977661224	0.022338776
3	0	0.995980691	0.004019309
3	0	0.536787077	0.463212923
3	0	0.996973978	0.003026022
3	0	0.678721061	0.321278939
3	0	0.573707075	0.426292925
3	0	0.994034658	0.005965342
3	0	0.983988062	0.016011938
3	0	0.998822816	0.001177184
3	0	0.387500095	0.612499905
3	0	0.998891	0.001109
3	0	0.027070298	0.972929702
3	0	0.956802835	0.043197165
3	0	0.992327271	0.007672729
3	0	0.996695803	0.003304197
3	0	0.854941494	0.145058506
3	0	0.738412699	0.261587301
3	0	0.637244924	0.362755076
3	0	0.993500187	0.006499813
3	0	0.717953921	0.282046079
3	0	0.997526248	0.002473752
3	0	0.410873723	0.589126277
3	0	0.900379559	0.099620441
3	0	0.941427927	0.058572073
3	0	0.998782964	0.001217036
3	0	0.001389208	0.998610792
3	0	0.99929467	0.00070533
3	0	0.969772116	0.030227884
3	0	0.988195775	0.011804225
3	0	0.739104988	0.260895012
