	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	76.74	67.44	70.21	72.09	0.4438	0.7333	0.7902	0.7197
Fold 1	79.07	74.42	75.56	76.74	0.5355	0.7727	0.7864	0.7658
Fold 2	81.4	79.07	79.55	80.23	0.6048	0.8046	0.8486	0.8126
Fold 3	65.12	79.07	75.68	72.09	0.4462	0.7	0.8313	0.7946
Fold 4	72.09	65.12	67.39	68.6	0.373	0.6966	0.7474	0.7718
Mean	74.884	73.024	73.678	73.95	0.4807	0.7414	0.8008	0.7729
Indep	77.78	78.25	26.42	78.21	0.364	0.3944	0.8671	0.3545
