Fold	Label	Score_0	Score
0	0	0.522297638	0.477702362
0	0	0.454383588	0.545616412
0	0	0.683881719	0.316118281
0	0	0.401861322	0.598138678
0	0	0.782402016	0.217597984
0	0	0.776926718	0.223073282
0	0	0.372951658	0.627048342
0	0	0.35545731	0.64454269
0	0	0.291701471	0.708298529
0	0	0.686627009	0.313372991
0	0	0.471060798	0.528939202
0	0	0.887609718	0.112390282
0	0	0.540467451	0.459532549
0	0	0.348449668	0.651550332
0	0	0.717102621	0.282897379
0	0	0.861563455	0.138436545
0	0	0.668487625	0.331512375
0	0	0.678319326	0.321680674
0	0	0.574268125	0.425731875
0	0	0.343163381	0.656836619
0	0	0.681651297	0.318348703
0	0	0.144375427	0.855624573
0	0	0.188437955	0.811562045
0	0	0.705340542	0.294659458
0	0	0.650008948	0.349991052
0	0	0.482023124	0.517976876
0	0	0.667906433	0.332093567
0	0	0.703670961	0.296329039
0	0	0.396124737	0.603875263
0	0	0.691146452	0.308853548
0	0	0.523516132	0.476483868
0	0	0.732406526	0.267593474
0	0	0.761384297	0.238615703
0	0	0.586701231	0.413298769
0	0	0.600012247	0.399987753
0	0	0.451439701	0.548560299
0	0	0.684009328	0.315990672
0	0	0.665735665	0.334264335
0	0	0.509671719	0.490328281
0	0	0.71446065	0.28553935
0	0	0.601356705	0.398643295
0	0	0.377077495	0.622922505
0	0	0.557836762	0.442163238
1	0	0.720281489	0.279718511
1	0	0.797744385	0.202255615
1	0	0.425250068	0.574749932
1	0	0.050767951	0.949232049
1	0	0.710544763	0.289455237
1	0	0.732924827	0.267075173
1	0	0.723248384	0.276751616
1	0	0.636875054	0.363124946
1	0	0.708637914	0.291362086
1	0	0.568280799	0.431719201
1	0	0.710144891	0.289855109
1	0	0.765537888	0.234462112
1	0	0.845069376	0.154930624
1	0	0.526170927	0.473829073
1	0	0.743384015	0.256615985
1	0	0.382242107	0.617757893
1	0	0.704074587	0.295925413
1	0	0.54800722	0.45199278
1	0	0.523011842	0.476988158
1	0	0.527887131	0.472112869
1	0	0.468495498	0.531504502
1	0	0.544338617	0.455661383
1	0	0.35208074	0.64791926
1	0	0.339789185	0.660210815
1	0	0.703296961	0.296703039
1	0	0.572106531	0.427893469
1	0	0.782498054	0.217501946
1	0	0.826960744	0.173039256
1	0	0.696901722	0.303098278
1	0	0.407059869	0.592940131
1	0	0.809700087	0.190299913
1	0	0.355330888	0.644669112
1	0	0.5342613	0.4657387
1	0	0.5	0.5
1	0	0.764768342	0.235231658
1	0	0.789722444	0.210277556
1	0	0.179704896	0.820295104
1	0	0.747731817	0.252268183
