	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	81.4	67.44	71.43	74.42	0.4932	0.7609	0.867	0.8238
Fold 1	81.4	69.77	72.92	75.58	0.5151	0.7692	0.8096	0.8306
Fold 2	86.05	74.42	77.08	80.23	0.6088	0.8132	0.8761	0.886
Fold 3	74.42	76.74	76.19	75.58	0.5118	0.7529	0.8004	0.7864
Fold 4	60.47	69.77	66.67	65.12	0.3036	0.6341	0.7588	0.7746
Mean	76.748	71.628	72.858	74.186	0.4865	0.7461	0.8224	0.8203
Indep	83.33	76.02	25.86	76.69	0.3751	0.3947	0.8791	0.4697
