	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	79.07	76.74	77.27	77.91	0.5583	0.7816	0.8578	0.8834
Fold 1	79.07	83.72	82.93	81.4	0.6286	0.8095	0.887	0.916
Fold 2	88.37	86.05	86.36	87.21	0.7444	0.8736	0.9351	0.945
Fold 3	83.72	81.4	81.82	82.56	0.6513	0.8276	0.8832	0.8877
Fold 4	69.77	81.4	78.95	75.58	0.5151	0.7407	0.8615	0.8614
Mean	80.0	81.862	81.466	80.932	0.6195	0.8066	0.8849	0.8987
Indep	85.19	82.16	32.39	82.43	0.4541	0.4694	0.9245	0.7305
