	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Fold 0	74.42	72.09	72.73	73.26	0.4652	0.7356	0.8053	0.8313
Fold 1	81.4	79.07	79.55	80.23	0.6048	0.8046	0.8099	0.8163
Fold 2	81.4	81.4	81.4	81.4	0.6279	0.814	0.8613	0.8811
Fold 3	81.4	74.42	76.09	77.91	0.5595	0.7865	0.7764	0.7667
Fold 4	76.74	79.07	78.57	77.91	0.5583	0.7765	0.7834	0.7975
Mean	79.072	77.21	77.668	78.142	0.5631	0.7834	0.8073	0.8186
Indep	85.19	76.39	26.59	77.2	0.3898	0.4053	0.8826	0.4574
