Fold	Label	Score_0	Score_1
0.0	0.0	0.03968442885811052	0.9603155711418895
0.0	0.0	0.5700553239257751	0.429944676074225
0.0	0.0	0.9957339361120711	0.00426606388792892
0.0	0.0	0.14107846935075985	0.8589215306492402
0.0	0.0	0.999729185148513	0.00027081485148691984
0.0	0.0	0.9994448690078649	0.0005551309921351652
0.0	0.0	0.9713350194391993	0.028664980560800656
0.0	0.0	0.7077949897357942	0.2922050102642058
0.0	0.0	0.2930238301777429	0.7069761698222571
0.0	0.0	0.9993915098388204	0.0006084901611795564
0.0	0.0	0.47109279022080364	0.5289072097791964
0.0	0.0	0.9999984413214279	1.5586785721479322e-06
0.0	0.0	0.6856210925748893	0.3143789074251107
0.0	0.0	2.1395410622515598e-05	0.9999786045893775
0.0	0.0	0.7925045362429809	0.2074954637570191
0.0	0.0	0.9996653504773467	0.0003346495226532789
0.0	0.0	0.9937353904524118	0.006264609547588183
0.0	0.0	0.9970085002112492	0.002991499788750834
0.0	0.0	0.9924912313257122	0.007508768674287846
0.0	0.0	0.4662931635398653	0.5337068364601347
0.0	0.0	0.19331632074606353	0.8066836792539365
0.0	0.0	0.0031311060302263716	0.9968688939697736
0.0	0.0	0.1106666204943817	0.8893333795056183
0.0	0.0	0.9992443933062085	0.0007556066937914807
0.0	0.0	0.4811259212092386	0.5188740787907614
0.0	0.0	0.9309592370256967	0.06904076297430328
0.0	0.0	0.9999741500931048	2.5849906895242208e-05
0.0	0.0	0.09127364893246304	0.908726351067537
0.0	0.0	0.041279863591324406	0.9587201364086756
0.0	0.0	0.9820286259289657	0.017971374071034274
0.0	0.0	0.998890302771196	0.0011096972288040469
0.0	0.0	0.8576670420950889	0.14233295790491104
0.0	0.0	0.973291923143465	0.026708076856535003
0.0	0.0	0.9738944757160952	0.02610552428390476
0.0	0.0	0.9973703814932858	0.002629618506714191
0.0	0.0	0.8095481153602367	0.19045188463976326
0.0	0.0	0.9574430146089449	0.04255698539105516
0.0	0.0	0.9005380703455521	0.09946192965444789
0.0	0.0	0.34301473169544583	0.6569852683045542
0.0	0.0	0.9962298054029417	0.0037701945970583317
0.0	0.0	0.9849023160696481	0.015097683930351933
0.0	0.0	0.9981431351221545	0.0018568648778455727
0.0	0.0	0.15201671772140424	0.8479832822785958
1.0	0.0	0.9989492422015975	0.0010507577984024536
1.0	0.0	0.9808434672403924	0.019156532759607606
1.0	0.0	0.4492320893399494	0.5507679106600506
1.0	0.0	0.14467839375925962	0.8553216062407404
1.0	0.0	0.9999562174748156	4.378252518448282e-05
1.0	0.0	0.4465504194423441	0.5534495805576559
1.0	0.0	0.9865633852428827	0.013436614757117308
1.0	0.0	0.9997181271992618	0.00028187280073823225
1.0	0.0	0.8701381161014585	0.1298618838985415
1.0	0.0	0.6529961422739599	0.3470038577260401
1.0	0.0	0.0398030848804547	0.9601969151195453
1.0	0.0	0.1741638682472023	0.8258361317527977
1.0	0.0	0.9974018413005562	0.00259815869944382
1.0	0.0	0.61889179552793	0.38110820447206994
1.0	0.0	0.9998350015022472	0.00016499849775277131
1.0	0.0	0.2877978043393393	0.7122021956606607
1.0	0.0	0.76448563887235	0.23551436112765
1.0	0.0	0.9989520213121966	0.001047978687803353
1.0	0.0	0.45007581676302555	0.5499241832369745
1.0	0.0	0.0025965851711174937	0.9974034148288825
1.0	0.0	0.9978791700014111	0.0021208299985888985
1.0	0.0	0.9993680264453981	0.0006319735546018427
1.0	0.0	0.6028709244164843	0.39712907558351573
1.0	0.0	0.0020125495052061293	0.9979874504947939
1.0	0.0	0.17839196278098313	0.8216080372190169
1.0	0.0	0.22547470920486934	0.7745252907951307
1.0	0.0	0.9999441981241696	5.5801875830414774e-05
1.0	0.0	0.9966604096593009	0.003339590340699116
1.0	0.0	0.6505092891992823	0.34949071080071775
1.0	0.0	0.9734350993986122	0.0265649006013878
1.0	0.0	0.9995899699847849	0.0004100300152150975
1.0	0.0	0.9390900023930949	0.06090999760690511
1.0	0.0	0.9926426388221908	0.007357361177809125
1.0	0.0	0.952355507366956	0.04764449263304407
1.0	0.0	0.999726462685492	0.0002735373145079675
1.0	0.0	0.9585886620499693	0.04141133795003076
1.0	0.0	0.004860601815639298	0.9951393981843607
1.0	0.0	0.9999590189055123	4.098109448771541e-05
1.0	0.0	0.9988547689553747	0.0011452310446252707
1.0	0.0	0.9999332607710997	6.673922890035765e-05
1.0	0.0	0.8079967227418744	0.19200327725812558
1.0	0.0	0.32593344112034695	0.674066558879653
1.0	0.0	0.9997930639183628	0.0002069360816372228
2.0	0.0	0.9995238991859071	0.0004761008140928919
2.0	0.0	0.1401545035359254	0.8598454964640746
2.0	0.0	0.8847492024197066	0.11525079758029345
2.0	0.0	0.9945048401353452	0.0054951598646547925
2.0	0.0	0.9612846873647901	0.03871531263520991
2.0	0.0	0.11734147879627566	0.8826585212037243
2.0	0.0	0.13230341485478492	0.8676965851452151
2.0	0.0	0.9999885087380505	1.1491261949596633e-05
2.0	0.0	0.9998199109143731	0.00018008908562693418
2.0	0.0	0.10894621439656438	0.8910537856034356
2.0	0.0	0.9999661365775558	3.3863422444145336e-05
2.0	0.0	0.999219218300321	0.0007807816996789394
2.0	0.0	0.9767816306728524	0.02321836932714763
2.0	0.0	0.0006082140395804458	0.9993917859604196
2.0	0.0	0.5124270344907889	0.48757296550921114
2.0	0.0	0.5866910497018383	0.41330895029816167
2.0	0.0	0.006282975879447927	0.9937170241205521
2.0	0.0	0.9992272857531582	0.0007727142468418091
